source	query_id	method	half	ndcg@10	ndcg@100
real_295	5920	e5_hybrid	inferior	1.0	1.0
real_295	5920	bge_m3_hybrid	inferior	1.0	1.0
real_295	6024	bm25	inferior	1.0	1.0
real_295	6024	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	6024	e5_hybrid	inferior	1.0	1.0
real_295	6024	bge_m3_hybrid	inferior	1.0	1.0
real_295	6025	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	6025	e5	inferior	0.5	0.5
real_295	6025	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	6025	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	6026	bm25	inferior	0.6309297535714575	0.6309297535714575
