method;half;recall;precision_interpolated
bm25;inferior;0.6516007532956686;0.16334106728538283
bm25;inferior;0.6534839924670434;0.16334106728538283
bm25;inferior;0.655367231638418;0.16334106728538283
bm25;inferior;0.6610169491525424;0.16334106728538283
bm25;inferior;0.6629001883239172;0.16334106728538283
bm25;inferior;0.664783427495292;0.16293929712460065
bm25;inferior;0.6666666666666666;0.16293929712460065
bm25;inferior;0.6685499058380414;0.16293929712460065
bm25;inferior;0.672316384180791;0.16293929712460065
bm25;inferior;0.6741996233521658;0.1625169760072431
bm25;inferior;0.6760828625235404;0.1625169760072431
bm25;inferior;0.6779661016949152;0.1617383512544803
bm25;inferior;0.67984934086629;0.1617383512544803
bm25;inferior;0.6817325800376648;0.16153502900490851
bm25;inferior;0.6836158192090396;0.16140506891951978
bm25;inferior;0.6854990583804144;0.1609907120743034
bm25;inferior;0.687382297551789;0.15897212543554007
bm25;inferior;0.6892655367231638;0.15769065058164583
bm25;inferior;0.6911487758945386;0.15753424657534246
bm25;inferior;0.6930320150659134;0.15753424657534246
bm25;inferior;0.7005649717514124;0.15236928104575165
bm25;inferior;0.7024482109227872;0.15236928104575165
bm25;inferior;0.704331450094162;0.15219155844155843
bm25;inferior;0.7062146892655368;0.15219155844155843
bm25;inferior;0.7080979284369114;0.15216511533791988
bm25;inferior;0.7099811676082862;0.14972200158856236
bm25;inferior;0.711864406779661;0.14493865030674846
bm25;inferior;0.7175141242937854;0.14475683890577506
bm25;inferior;0.71939736346516;0.14398793818318883
bm25;inferior;0.7212806026365348;0.14393085306275835
bm25;inferior;0.7231638418079096;0.14360041623309053
bm25;inferior;0.7250470809792844;0.14360041623309053
bm25;inferior;0.7288135593220338;0.14360041623309053
bm25;inferior;0.7306967984934086;0.14360041623309053
bm25;inferior;0.7325800376647834;0.14360041623309053
bm25;inferior;0.736346516007533;0.14360041623309053
bm25;inferior;0.7382297551789078;0.14360041623309053
bm25;inferior;0.7419962335216572;0.14360041623309053
bm25;inferior;0.7495291902071564;0.14360041623309053
bm25;inferior;0.7532956685499058;0.14360041623309053
bm25;inferior;0.7570621468926554;0.14360041623309053
bm25;inferior;0.7589453860640302;0.14360041623309053
bm25;inferior;0.7608286252354048;0.14360041623309053
bm25;inferior;0.7627118644067796;0.14360041623309053
bm25;inferior;0.768361581920904;0.14360041623309053
bm25;inferior;0.7702448210922788;0.14360041623309053
bm25;inferior;0.7721280602636534;0.14360041623309053
bm25;inferior;0.775894538606403;0.14360041623309053
bm25;inferior;0.7777777777777778;0.14360041623309053
bm25;inferior;0.7796610169491526;0.14360041623309053
bm25;inferior;0.7815442561205274;0.1418849948962232
bm25;inferior;0.783427495291902;0.1418849948962232
bm25;inferior;0.7853107344632768;0.1418849948962232
bm25;inferior;0.7890772128060264;0.14074571716493114
bm25;inferior;0.7909604519774012;0.13614262560777957
bm25;inferior;0.7928436911487758;0.13532626165220185
bm25;inferior;0.7947269303201506;0.13109661385523455
bm25;inferior;0.7966101694915254;0.13100030969340354
bm25;inferior;0.7984934086629002;0.12978723404255318
bm25;inferior;0.800376647834275;0.12978723404255318
bm25;inferior;0.8022598870056498;0.12978723404255318
bm25;inferior;0.8041431261770244;0.12978723404255318
bm25;inferior;0.8060263653483992;0.12851165570830841
bm25;inferior;0.807909604519774;0.12851165570830841
bm25;inferior;0.8097928436911488;0.12851165570830841
bm25;inferior;0.8116760828625236;0.12628186346322884
bm25;inferior;0.8192090395480226;0.12610556348074178
bm25;inferior;0.8210922787193974;0.12610556348074178
bm25;inferior;0.8229755178907722;0.12610556348074178
bm25;inferior;0.8248587570621468;0.12610556348074178
bm25;inferior;0.8286252354048964;0.12610556348074178
