source	query_id	target_id	jaccard
real_295	6059	126766	0.7777777777777778
real_295	6060	126767	0.6363636363636364
real_295	48078	126767	0.6363636363636364
real_295	6061	126768	0.75
real_295	6062	126769	0.8095238095238095
real_295	2764	126769	0.8095238095238095
real_295	2790	126770	0.7142857142857143
real_295	6063	126770	0.7142857142857143
real_295	2793	126771	0.7142857142857143
real_295	6064	126771	0.7142857142857143
real_295	2804	126772	0.8260869565217391
real_295	6065	126772	0.8260869565217391
real_295	2805	126773	0.8260869565217391
real_295	6066	126773	0.8260869565217391
real_295	2806	126774	0.8333333333333334
real_295	6067	126774	0.8333333333333334
real_295	6068	126775	0.8918918918918919
real_295	35143	126775	0.8461538461538461
real_295	6069	126776	0.8974358974358975
real_295	41609	126776	0.8536585365853658
real_295	6070	126777	0.9047619047619048
real_295	6071	126778	0.3333333333333333
real_295	6072	126779	0.5
real_295	6073	126780	0.7777777777777778
real_295	3540	126780	0.7777777777777778
real_295	6074	126781	0.7777777777777778
real_295	3541	126781	0.7777777777777778
real_295	6075	126782	0.7777777777777778
real_295	3542	126782	0.7777777777777778
real_295	6076	126783	0.7777777777777778
real_295	3543	126783	0.7777777777777778
real_295	6077	126784	0.7777777777777778
real_295	3544	126784	0.7777777777777778
real_295	6078	126785	0.7777777777777778
real_295	23063	126785	0.7777777777777778
real_295	6079	126786	0.7777777777777778
real_295	3546	126786	0.7777777777777778
real_295	3547	126787	0.8181818181818182
real_295	6080	126787	0.8181818181818182
real_295	3548	126788	0.8181818181818182
real_295	6081	126788	0.8181818181818182
real_295	3549	126789	0.8181818181818182
real_295	6082	126789	0.8181818181818182
real_295	3550	126790	0.8181818181818182
real_295	6083	126790	0.8181818181818182
real_295	3551	126791	0.8181818181818182
real_295	6084	126791	0.8181818181818182
real_295	3552	126792	0.8181818181818182
real_295	6085	126792	0.8181818181818182
real_295	3553	126793	0.8181818181818182
real_295	6086	126793	0.8181818181818182
real_295	6087	126794	0.6363636363636364
real_295	47089	126794	0.12
real_295	6088	126795	0.6363636363636364
real_295	6089	126796	0.6363636363636364
real_295	6090	126797	0.6666666666666666
real_295	6091	126798	0.6363636363636364
real_295	6092	126799	0.8
real_295	6093	126800	0.8
real_295	6094	126801	0.7894736842105263
real_295	35267	126801	0.6666666666666666
real_295	6095	126802	0.8
real_295	6096	126803	0.8095238095238095
real_295	3632	126804	0.8
real_295	6097	126804	0.8
real_295	3633	126805	0.8
real_295	6098	126805	0.8
real_295	6099	126806	0.8095238095238095
real_295	6100	126807	0.8181818181818182
real_295	6101	126808	0.8181818181818182
real_295	32830	126808	0.625
real_295	6102	126809	0.8181818181818182
real_295	6103	126810	0.8181818181818182
real_295	35275	126810	0.7727272727272727
real_295	6104	126811	0.8260869565217391
real_295	35276	126811	0.782608695652174
real_295	6105	126812	0.7647058823529411
real_295	6106	126813	0.7647058823529411
real_295	6107	126814	0.5555555555555556
real_295	6108	126815	0.6
real_295	35294	126815	0.5
real_295	6109	126816	0.6363636363636364
real_295	35304	126816	0.5384615384615384
real_295	6110	126817	0.8571428571428571
real_295	4015	126817	0.8571428571428571
real_295	6111	126818	0.8709677419354839
real_295	4033	126818	0.8709677419354839
real_295	6112	126819	0.8571428571428571
real_295	6113	126820	0.8571428571428571
real_295	6114	126821	0.8461538461538461
real_295	4108	126822	0.7777777777777778
real_295	6115	126822	0.7777777777777778
real_295	6116	126823	0.5
real_295	4160	126823	0.5
real_295	6117	126824	0.7894736842105263
real_295	6118	126825	0.7894736842105263
real_295	6119	126826	0.7894736842105263
real_295	6120	126827	0.7894736842105263
real_295	6121	126828	0.7894736842105263
real_295	6122	126829	0.7894736842105263
real_295	6123	126830	0.7894736842105263
real_295	6124	126831	0.7894736842105263
real_295	6125	126832	0.7894736842105263
real_295	6126	126833	0.7894736842105263
real_295	6127	126834	0.7894736842105263
real_295	6128	126835	0.7894736842105263
real_295	6129	126836	0.7894736842105263
real_295	6130	126837	0.7894736842105263
real_295	6131	126838	0.7894736842105263
real_295	6132	126839	0.8
real_295	6133	126840	0.8
real_295	6134	126841	0.8
real_295	6135	126842	0.8
real_295	6136	126843	0.8
real_295	6137	126844	0.8
real_295	39016	126844	0.8
real_295	6138	126845	0.8
real_295	6139	126846	0.8
real_295	21562	126846	0.8
real_295	6140	126847	0.8
real_295	23778	126847	0.5517241379310345
real_295	6141	126848	0.8
real_295	6142	126849	0.8
real_295	6143	126850	0.8
real_295	24316	126850	0.15384615384615385
real_295	6144	126851	0.8
real_295	24318	126851	0.15384615384615385
real_295	6145	126852	0.8
real_295	24312	126852	0.16
real_295	6146	126853	0.8
real_295	24323	126853	0.15384615384615385
real_295	6147	126854	0.8
real_295	24325	126854	0.15384615384615385
real_295	6148	126855	0.8
real_295	24326	126855	0.15384615384615385
real_295	6149	126856	0.8
real_295	24319	126856	0.16
real_295	6150	126857	0.8
real_295	24321	126857	0.16
real_295	6151	126858	0.8
real_295	24343	126858	0.15384615384615385
real_295	6152	126859	0.8
real_295	24344	126859	0.15384615384615385
real_295	6153	126860	0.8
real_295	23626	126860	0.5652173913043478
real_295	11922	126860	0.5217391304347826
real_295	6154	126861	0.8
real_295	24287	126861	0.15384615384615385
real_295	6155	126862	0.8
real_295	13500	126862	0.7142857142857143
real_295	6156	126863	0.8
real_295	24285	126863	0.16
real_295	6157	126864	0.7647058823529411
real_295	6158	126865	0.7647058823529411
real_295	21414	126865	0.09090909090909091
real_295	18956	126865	0.07692307692307693
real_295	6159	126866	0.7647058823529411
real_295	21415	126866	0.09090909090909091
real_295	10242	126866	0.1111111111111111
real_295	8180	126866	0.07407407407407407
real_295	8179	126866	0.07692307692307693
real_295	6160	126867	0.7647058823529411
real_295	17084	126867	0.19047619047619047
