recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.611399000;0.081619;0.067797;0.433824;0.074968;0.512295
0.613990000;0.081619;0.067797;0.397351;0.074787;0.512295
0.616580000;0.081619;0.067797;0.397351;0.074236;0.512295
0.619171000;0.081619;0.067797;0.397351;0.073994;0.512295
0.621762000;0.081619;0.067797;0.397351;0.073659;0.512295
0.624352000;0.081619;0.066703;0.376093;0.073659;0.512295
0.626943000;0.081619;0.066703;0.376093;0.073659;0.512295
0.629534000;0.081073;0.066703;0.376093;0.073659;0.512295
0.632124000;0.081073;0.066703;0.376093;0.072938;0.512295
0.634715000;0.081073;0.066703;0.376093;0.072938;0.512295
0.637306000;0.081073;0.066703;0.376093;0.071429;0.512295
0.639896000;0.081073;0.066703;0.376093;0.071429;0.512295
0.642487000;0.081073;0.066452;0.376093;0.070655;0.512295
0.645078000;0.081073;0.065845;0.376093;0.070220;0.512295
0.647668000;0.081073;0.065845;0.376093;0.070092;0.512295
0.650259000;0.081073;0.065845;0.376093;0.070092;0.508032
0.652850000;0.081073;0.065642;0.376093;0.068984;0.508032
0.655440000;0.081073;0.065586;0.376093;0.068806;0.508032
0.658031000;0.081073;0.065586;0.376093;0.068438;0.450253
0.660622000;0.081073;0.065586;0.376093;0.068438;0.450253
0.663212000;0.081073;0.065456;0.376093;0.068431;0.450253
0.665803000;0.081073;0.065394;0.376093;0.065982;0.450253
0.668394000;0.081073;0.065366;0.376093;0.065371;0.450253
0.670984000;0.081073;0.065026;0.356557;0.065371;0.450253
0.673575000;0.081073;0.063416;0.356557;0.064397;0.450253
0.676166000;0.081073;0.063416;0.356557;0.064397;0.450253
0.678756000;0.081073;0.063416;0.322384;0.063804;0.450253
0.681347000;0.081073;0.063416;0.322384;0.063804;0.450253
0.683938000;0.081073;0.063416;0.322384;0.063804;0.450253
0.686528000;0.081073;0.063276;0.322384;0.063804;0.450253
0.689119000;0.081073;0.061803;0.316290;0.063804;0.450253
0.691710000;0.081073;0.061709;0.294182;0.063492;0.450253
0.694301000;0.081073;0.061709;0.294182;0.063492;0.448105
0.696891000;0.081073;0.061709;0.279877;0.062384;0.448105
